OID,Licence,CompName,Latitude,Longitude,KBE,GroundElev,SurfLoc,EDCT,RatingLev,LicStatus,LicStatDat,OpSurvProv
290621,292435,Canadian Natural Resources Limited(0HE9),54.9054489,-118.7573853,700.7999878,695.7000122,13-19-068-05W6,360,J,Issued,08-Sep-03,Sour
152326,144773,Canadian Natural Resources Limited(0HE9),54.928215,-118.7544479,674.5,669.7000122,06-31-068-05W6,,J,Issued,13-Jul-90,Sour
470834,493209,Spartan Delta Corp.(A8HR),54.9590149,-118.6684418,659.7000122,653.7000122,07-10-069-05W6,570,J,Issued,07-Jan-19,Sour
100850,91855,Whitecap Resources Inc.(A5BE),54.9186783,-118.8969498,699.0999756,693.7000122,10-30-068-06W6,,J,Issued,24-Aug-81,
207975,202999,Whitecap Resources Inc.(A5BE),54.9198341,-118.9073486,707.4000244,698.4000244,14-30-068-06W6,,J,Issued,27-Jun-97,Sour
185431,179247,Canadian Natural Resources Limited(0HE9),54.9179688,-118.9538345,784.0999756,779.4000244,10-26-068-07W6,,J,Issued,13-Jul-95,
393394,406973,Canadian Natural Resources Limited(0HE9),54.9181862,-118.9535446,786.2999878,781,10-26-068-07W6,140,J,Issued,23-Dec-08,
435111,452964,I3 Energy Canada Ltd.(A8HW),54.9236641,-118.9532166,758.4000244,752.7000122,02-35-068-07W6,140,J,Issued,28-Dec-12,
425739,442724,I3 Energy Canada Ltd.(A8HW),54.9240685,-118.9534454,755.7000122,751.7999878,02-35-068-07W6,140,J,Issued,12-Jan-12,
186313,180152,Canadian Natural Resources Limited(0HE9),54.9609756,-118.7830276,665.4000244,661.0999756,12-12-069-06W6,,J,Issued,18-Aug-95,
293607,295643,Canadian Natural Resources Limited(0HE9),54.949276,-118.8808212,701.9000244,697.9000244,14-05-069-06W6,360,J,Issued,06-Nov-03,Sour
441566,459703,Canadian Natural Resources Limited(0HE9),54.9393158,-118.9368286,695.2000122,689.2999878,04-01-069-07W6,140,J,Issued,30-Sep-13,
364868,374082,Canadian Natural Resources Limited(0HE9),54.9348068,-119.0026779,757.0999756,751.9299927,15-33-068-07W6,140,J,Issued,12-Feb-07,
106617,97625,Canadian Natural Resources Limited(0HE9),54.9882393,-118.7795258,660.2999878,656.2999878,06-24-069-06W6,,J,Issued,29-Sep-82,
332087,337477,Cardinal Energy Ltd.(A6A7),54.9410019,-119.0228882,760.2999878,756.2000122,01-05-069-07W6,140,J,Issued,31-Aug-05,
164689,157352,I3 Energy Canada Ltd.(A8HW),54.9621849,-118.9244919,685.9000244,681.2999878,10-12-069-07W6,,J,Issued,18-Mar-93,
328130,333357,Canadian Natural Resources Limited(0HE9),54.9701653,-118.92099,675.0999756,671.2000122,01-13-069-07W6,140,J,Issued,21-Jun-05,
471879,494346,Secure Energy Services Inc.(A267),55.0206223,-118.6737671,663.4000244,657.7000122,10-34-069-05W6,370,J,Issued,30-Apr-19,Sour
398328,413023,Canadian Natural Resources Limited(0HE9),54.9573975,-119.0118484,704.5,699.7999878,05-09-069-07W6,360,J,Issued,09-Oct-09,Sour
308443,312093,Cardinal Energy Ltd.(A6A7),54.9630623,-119.0319214,706.2000122,701.5,11-08-069-07W6,140,J,Issued,20-Jul-04,
286833,288567,Goose Creek Resources Ltd.(A7Y5),55.0174217,-118.8072052,662.5999756,658.2000122,06-35-069-06W6,150,J,Issued,17-Jun-03,
